sample_idx,h5_read,crop_timestamps,pad_timestamps,fill_missing,subset_sample,ndvi,normalize,total,cache_hit
10,0.014385,0.000048,0.000005,0.066759,0.000961,0.000028,0.003178,0.085376,0
8,0.019988,0.000057,0.000006,0.190185,0.000526,0.000010,0.002126,0.212909,0
22,0.020918,0.000041,0.000003,0.023701,0.000274,0.000004,0.000167,0.045109,0
7,0.021124,0.000055,0.000007,0.161192,0.000516,0.000010,0.004260,0.187175,0
6,0.030996,0.000055,0.000007,0.215222,0.000466,0.000009,0.008201,0.254967,0
19,0.010917,0.000033,0.000005,0.058091,0.000321,0.000004,0.000236,0.069610,0
8,0.021513,0.000064,0.000005,0.019723,0.000444,0.000008,0.017262,0.059029,0
7,0.020081,0.000056,0.000004,0.196026,0.000484,0.000010,0.002878,0.219550,0
23,0.012606,0.000037,0.000003,0.018097,0.000251,0.000005,0.000166,0.031168,0
10,0.014940,0.000049,0.000005,0.183721,0.000418,0.000008,0.002929,0.202080,0
9,0.017768,0.000055,0.000005,0.226621,0.000455,0.000011,0.003090,0.248015,0
7,0.012088,0.000047,0.000004,0.116428,0.000470,0.000006,0.019717,0.148768,0
9,0.020405,0.000057,0.000006,0.036167,0.000267,0.000005,0.001068,0.057979,0
20,0.014366,0.000043,0.000004,0.057573,0.000344,0.000005,0.000262,0.072600,0
7,0.016144,0.000043,0.000009,0.109904,0.000375,0.000006,0.000269,0.126752,0
7,0.021565,0.000052,0.000007,0.049957,0.000466,0.000009,0.008182,0.080250,0
9,0.041933,0.000066,0.000007,0.183309,0.000682,0.000011,0.000523,0.226538,0
8,0.017473,0.000057,0.000005,0.050397,0.000491,0.000011,0.002661,0.071105,0
24,0.010303,0.000041,0.000003,0.063235,0.000306,0.000004,0.000177,0.074071,0
8,0.034086,0.000082,0.000015,0.068698,0.000529,0.000010,0.002892,0.106325,0
8,0.017616,0.000046,0.000005,0.037496,0.000413,0.000005,0.019794,0.075383,0
9,0.013773,0.000051,0.000005,0.023636,0.000541,0.000009,0.002765,0.040790,0
8,0.018219,0.000054,0.000006,0.157930,0.000835,0.000018,0.000629,0.177699,0
